Time,Position 1,Position 2
0.05,-0.611226,-0.002744
0.1,-0.611226,-0.0029155
0.15,-0.6110545,-0.001372
0.2,-0.6110545,-0.00343
0.25,-0.6110545,-0.003773
0.3,-0.610883,-0.001372
0.35,-0.610883,-0.0008575
0.4,-0.611226,-0.0032585
0.45,-0.6110545,-0.0029155
0.5,-0.6110545,-0.001029
0.55,-0.6110545,-0.001029
0.6,-0.6110545,-0.0032585
0.65,-0.6110545,-0.0008575
0.7,-0.6110545,-0.0008575
0.75,-0.6110545,-0.003087
0.8,-0.6107115,-0.003087
0.85,-0.6110545,-0.0008575
0.9,-0.610883,-0.001372
0.95,-0.6107115,-0.0029155
1,-0.61054,-0.0029155
1.05,-0.610197,-0.0008575
1.1,-0.607453,-0.001029
1.15,-0.6089965,-0.0029155
1.2,-0.608139,-0.0008575
1.25,-0.608139,-0.001029
1.3,-0.6069385,-0.003087
1.35,-0.613284,-0.0029155
1.4,-0.6072815,-0.0012005
1.45,-0.595448,-0.0012005
1.5,-0.5836145,-0.0012005
1.55,-0.570066,-0.001029
1.6,-0.5582325,-0.001029
1.65,-0.5469135,-0.0012005
1.7,-0.5352515,-0.003087
1.75,-0.523418,-0.001029
1.8,-0.511756,-0.0029155
1.85,-0.500094,-0.0008575
1.9,-0.4882605,-0.003087
1.95,-0.4765985,-0.002744
2,-0.464765,-0.001029
2.05,-0.453446,-0.0029155
2.1,-0.441784,-0.003087
2.15,-0.4299505,-0.003087
2.2,-0.4182885,-0.003087
2.25,-0.406455,-0.001029
2.3,-0.3946215,-0.003087
2.35,-0.382788,-0.0029155
2.4,-0.371126,-0.0012005
2.45,-0.3592925,-0.0029155
2.5,-0.3479735,-0.0012005
2.55,-0.3363115,-0.0029155
2.6,-0.324478,-0.003087
2.65,-0.3126445,-0.0029155
2.7,-0.3009825,-0.0032585
2.75,-0.289149,-0.0029155
2.8,-0.2773155,-0.003087
2.85,-0.265482,-0.0029155
2.9,-0.254163,-0.001029
2.95,-0.2423295,-0.003087
3,-0.230496,-0.002744
3.05,-0.2186625,-0.002744
3.1,-0.2066575,-0.001029
3.15,-0.194824,-0.003087
3.2,-0.183162,-0.003087
3.25,-0.171157,-0.0029155
3.3,-0.159838,-0.003087
3.35,-0.147833,-0.0029155
3.4,-0.1359995,-0.003087
3.45,-0.124166,-0.002744
3.5,-0.112161,-0.002744
3.55,-0.1003275,-0.0029155
3.6,-0.088494,-0.001372
3.65,-0.076489,-0.0032585
3.7,-0.0646555,-0.0029155
3.75,-0.0529935,-0.003087
3.8,-0.04116,-0.0029155
3.85,-0.029155,-0.0032585
3.9,-0.0173215,-0.0029155
3.95,-0.0053165,-0.00343
4,0.008232,0.000686
4.05,0.0149205,0.009604
4.1,0.0159495,0.019208
4.15,0.0156065,0.0327565
4.2,0.0156065,0.04459
4.25,0.015778,0.056252
4.3,0.0159495,0.065856
4.35,0.0159495,0.079576
4.4,0.016121,0.0914095
4.45,0.016121,0.1029
4.5,0.0162925,0.1147335
4.55,0.016121,0.1260525
4.6,0.0162925,0.137886
4.65,0.016464,0.1493765
4.7,0.016464,0.160867
4.75,0.016807,0.172529
4.8,0.0169785,0.1840195
4.85,0.01715,0.19551
4.9,0.0173215,0.2070005
4.95,0.0169785,0.2183195
5,0.0173215,0.2299815
5.05,0.0173215,0.2416435
5.1,0.0176645,0.253134
5.15,0.0180075,0.264453
5.2,0.0183505,0.2759435
5.25,0.018522,0.2876055
5.3,0.018865,0.298753
5.35,0.0190365,0.3102435
5.4,0.018865,0.3208765
5.45,0.019208,0.33271
5.5,0.0193795,0.3466015
5.55,0.0197225,0.3551765
5.6,0.0200655,0.3695825
5.65,0.0204085,0.3802155
5.7,0.0207515,0.391363
5.75,0.0210945,0.406112
5.8,0.0210945,0.417088
5.85,0.021609,0.4258345
5.9,0.021952,0.438697
5.95,0.0224665,0.4498445
6,0.0228095,0.4611635
6.05,0.023324,0.472654
6.1,0.0238385,0.4834585
6.15,0.0241815,0.4954635
6.2,0.024353,0.505239
6.25,0.0248675,0.5160435
6.3,0.0252105,0.527877
6.35,0.025725,0.5414255
6.4,0.0262395,0.5524015
6.45,0.026754,0.5626915
6.5,0.027097,0.573496
6.55,0.0276115,0.584815
6.6,0.0276115,0.595448
6.65,0.028126,0.6024795
6.7,0.0286405,0.6076245
6.75,0.029498,0.6107115
6.8,0.0300125,0.6110545
6.85,0.0303555,0.610883
6.9,0.03087,0.6110545
6.95,0.031556,0.61054
7,0.032242,0.61054
