Time,Position 1,Position 2
0.05,-0.620144,-0.0012005
0.1,-0.620144,-0.0032585
0.15,-0.6199725,-0.00343
0.2,-0.6203155,-0.0036015
0.25,-0.6203155,-0.003773
0.3,-0.620144,-0.003773
0.35,-0.620144,-0.003773
0.4,-0.6199725,-0.0039445
0.45,-0.6203155,-0.003773
0.5,-0.6203155,-0.0042875
0.55,-0.620144,-0.004116
0.6,-0.6199725,-0.002058
0.65,-0.620144,-0.002058
0.7,-0.619801,-0.0022295
0.75,-0.619458,-0.004116
0.8,-0.6189435,-0.0039445
0.85,-0.6186005,-0.0039445
0.9,-0.618429,-0.004116
0.95,-0.6179145,-0.003773
1,-0.6172285,-0.0039445
1.05,-0.6196295,-0.004116
1.1,-0.618086,-0.004116
1.15,-0.617057,-0.0039445
1.2,-0.617057,-0.004116
1.25,-0.618086,-0.0039445
1.3,-0.6155135,-0.003773
1.35,-0.620144,-0.0039445
1.4,-0.6192865,-0.0022295
1.45,-0.609168,-0.003773
1.5,-0.5990495,-0.004116
1.55,-0.5887595,-0.004116
1.6,-0.5770975,-0.004116
1.65,-0.566979,-0.004116
1.7,-0.556689,-0.0039445
1.75,-0.5465705,-0.0039445
1.8,-0.536795,-0.0039445
1.85,-0.5266765,-0.004116
1.9,-0.5163865,-0.004116
1.95,-0.506268,-0.004116
2,-0.4961495,-0.004116
2.05,-0.486374,-0.0039445
2.1,-0.476084,-0.004116
2.15,-0.4659655,-0.004116
2.2,-0.4556755,-0.004116
2.25,-0.4459,-0.004116
2.3,-0.43561,-0.0039445
2.35,-0.4254915,-0.0039445
2.4,-0.4152015,-0.0042875
2.45,-0.4049115,-0.004116
2.5,-0.395136,-0.0022295
2.55,-0.384846,-0.0039445
2.6,-0.3747275,-0.0039445
2.65,-0.3644375,-0.003773
2.7,-0.3541475,-0.004116
2.75,-0.344372,-0.004116
2.8,-0.334082,-0.0039445
2.85,-0.323792,-0.0039445
2.9,-0.313502,-0.002058
2.95,-0.3037265,-0.002058
3,-0.2934365,-0.0042875
3.05,-0.2831465,-0.0042875
3.1,-0.2728565,-0.0018865
3.15,-0.2625665,-0.004116
3.2,-0.2526195,-0.0039445
3.25,-0.2423295,-0.004116
3.3,-0.231868,-0.0039445
3.35,-0.221578,-0.002058
3.4,-0.2111165,-0.0022295
3.45,-0.2011695,-0.003773
3.5,-0.1908795,-0.0039445
3.55,-0.180418,-0.003773
3.6,-0.170128,-0.002058
3.65,-0.1600095,-0.0039445
3.7,-0.1497195,-0.004116
3.75,-0.139258,-0.0042875
3.8,-0.128968,-0.0039445
3.85,-0.1185065,-0.003773
3.9,-0.1085595,-0.0042875
3.95,-0.098098,-0.004116
4,-0.0876365,-0.004116
4.05,-0.077175,-0.0039445
4.1,-0.0667135,-0.0039445
4.15,-0.056595,-0.003773
4.2,-0.0461335,-0.003773
4.25,-0.035672,-0.003773
4.3,-0.0252105,-0.003773
4.35,-0.015092,-0.003773
4.4,-0.0025725,-0.002401
4.45,0.0036015,0.0025725
4.5,0.0087465,0.007889
4.55,0.01372,0.0125195
4.6,0.018179,0.0169785
4.65,0.022981,0.0217805
4.7,0.027783,0.026411
4.75,0.0324135,0.0330995
4.8,0.037044,0.0351575
4.85,0.04116,0.0399595
4.9,0.0457905,0.046305
4.95,0.050421,0.050764
5,0.0547085,0.052822
5.05,0.0588245,0.057281
5.1,0.063112,0.0636265
5.15,0.067571,0.0677425
5.2,0.0718585,0.069972
5.25,0.076146,0.076146
5.3,0.0800905,0.080262
5.35,0.084378,0.0824915
5.4,0.088837,0.0883225
5.45,0.093296,0.093296
5.5,0.0972405,0.097412
5.55,0.101528,0.099813
5.6,0.105987,0.105987
5.65,0.110446,0.110446
5.7,0.1147335,0.1150765
5.75,0.118678,0.1191925
5.8,0.123137,0.12348
5.85,0.127596,0.1281105
5.9,0.1318835,0.1325695
5.95,0.136514,0.1370285
6,0.140287,0.141659
6.05,0.1449175,0.1459465
6.1,0.149548,0.150234
6.15,0.154007,0.154693
6.2,0.1579515,0.159152
6.25,0.1624105,0.163268
6.3,0.167041,0.1678985
6.35,0.1715,0.172186
6.4,0.1757875,0.1764735
6.45,0.1799035,0.180761
6.5,0.184191,0.184877
6.55,0.18865,0.1891645
6.6,0.192766,0.1932805
6.65,0.1967105,0.1973965
6.7,0.200655,0.201341
6.75,0.2045995,0.2052855
6.8,0.208544,0.2087155
6.85,0.2124885,0.2124885
6.9,0.215747,0.21609
6.95,0.2193485,0.2196915
7,0.22295,0.22295
