Time (ms), Raw speed error (mV), Raw speed (mrad/s), Reference (mV), Control output (mV)
01, 3000, 0, 3000, 0
49, 1957, 1926, 3000, 3086
100, 2054, 1746, 3000, 3213
149, 2048, 1757, 3000, 3291
199, 2017, 1814, 3000, 3314
249, 2021, 1808, 3000, 3393
300, 1991, 1862, 3000, 3415
349, 1987, 1869, 3000, 3440
399, 1998, 1850, 3000, 3496
449, 1957, 1926, 3000, 3583
499, 1938, 1960, 3000, 3585
551, 1934, 1967, 3000, 3604
599, 1919, 1995, 3000, 3663
649, 1900, 2031, 3000, 3720
699, 1895, 2039, 3000, 3741
749, 1875, 2076, 3000, 3828
799, 1879, 2069, 3000, 3847
850, 1823, 2173, 3000, 3852
899, 1827, 2165, 3000, 3907
949, 1804, 2207, 3000, 3973
999, 1795, 2225, 3000, 4006
1049, 1780, 2252, 3000, 4024
1099, 1765, 2279, 3000, 4044
1151, 1734, 2336, 3000, 4112
1199, 1734, 2336, 3000, 4140
1249, 1745, 2317, 3000, 4173
1300, 1718, 2366, 3000, 4207
1349, 1690, 2417, 3000, 4255
1399, 1685, 2427, 3000, 4278
1450, 1656, 2481, 3000, 4316
1499, 1662, 2470, 3000, 4356
1549, 1638, 2514, 3000, 4411
1599, 1656, 2481, 3000, 4439
1649, 1632, 2525, 3000, 4445
1699, 1619, 2548, 3000, 4459
1750, 1600, 2584, 3000, 4543
1800, 1580, 2620, 3000, 4578
1849, 1560, 2657, 3000, 4609
1899, 1553, 2670, 3000, 4643
1949, 1560, 2657, 3000, 4704
1999, 1546, 2683, 3000, 4683
2049, 1503, 2762, 3000, 4722
2099, 1533, 2708, 3000, 4763
2149, 1496, 2775, 3000, 4790
2199, 1489, 2789, 3000, 4830
2249, 1466, 2832, 3000, 4810
2300, 1474, 2817, 3000, 4883
2349, 1474, 2817, 3000, 4943
2399, 1442, 2875, 3000, 4956
2449, 1434, 2890, 3000, 5004
2499, 1450, 2860, 3000, 5027
2549, 1401, 2951, 3000, 5023
2600, 1418, 2920, 3000, 5085
2649, 1393, 2966, 3000, 5080
2699, 1384, 2982, 3000, 5084
2749, 1367, 3014, 3000, 5145
2799, 1376, 2998, 3000, 5163
2849, 1367, 3014, 3000, 5235
2901, 1312, 3115, 3000, 5237
2949, 1358, 3031, 3000, 5267
2999, 1321, 3098, 3000, 5326
3050, 1321, 3098, 3000, 5354
3099, 1303, 3132, 3000, 5355
3149, 1293, 3150, 3000, 5398
3201, 1254, 3222, 3000, 5471
3249, 1254, 3222, 3000, 5456
3299, 1254, 3222, 3000, 5482
3350, 1264, 3204, 3000, 5479
3399, 1254, 3222, 3000, 5520
3449, 1213, 3298, 3000, 5561
3501, 1244, 3241, 3000, 5553
3549, 1202, 3318, 3000, 5624
3599, 1192, 3337, 3000, 5648
3650, 1202, 3318, 3000, 5673
3699, 1202, 3318, 3000, 5664
3750, 1192, 3337, 3000, 5703
3800, 1159, 3398, 3000, 5690
3849, 1159, 3398, 3000, 5743
3899, 1136, 3440, 3000, 5781
3949, 1125, 3461, 3000, 5837
3999, 1125, 3461, 3000, 5787
4050, 1113, 3482, 3000, 5850
4099, 1113, 3482, 3000, 5861
4149, 1113, 3482, 3000, 5951
4200, 1077, 3549, 3000, 5905
4249, 1089, 3526, 3000, 5951
4299, 1040, 3617, 3000, 5933
4352, 1077, 3549, 3000, 5975
