Time (ms), Raw speed error (mV), Raw speed (mrad/s), Reference (mV), Control output (mV)
00, -1000, 0, -1000, 0
49, -783, -399, -950, -1196
99, -774, -324, -900, -1176
149, -675, -415, -850, -1036
199, -630, -405, -800, -1240
249, -633, -308, -750, -1084
299, -500, -461, -700, -1109
350, -582, -217, -650, -1025
400, -650, 0, -600, -1192
450, -600, 0, -550, -1138
500, -550, 0, -500, -1083
550, -500, 0, -450, -1025
599, -450, 0, -400, -967
649, -400, 0, -350, -906
699, -350, 0, -300, -844
749, -300, 0, -250, -780
799, -250, 0, -200, -714
850, -200, 0, -150, -647
899, -150, 0, -100, -578
949, -100, 0, -50, -507
999, -50, 0, 0, -435
1050, 0, 0, 50, -330
1099, 50, 0, 100, -285
1150, 100, 0, 150, -207
1199, 150, 0, 200, -128
1249, 200, 0, 250, -48
1299, 132, 218, 300, -143
1349, 356, -103, 350, 201
1399, 310, 75, 400, 121
1450, 343, 106, 450, 213
1499, 450, 0, 500, 239
1549, 500, 0, 550, 465
1599, 550, 0, 600, 558
1649, 600, 0, 650, 652
1699, 650, 0, 700, 748
1749, 700, 0, 750, 845
1799, 750, 0, 800, 944
1849, 800, 0, 850, 1045
1899, 848, 5, 900, 1145
1949, 900, 0, 950, 1252
2000, 940, 20, 1000, 1358
2049, 707, 541, 1050, 1163
2099, 922, 238, 1100, 1343
2149, 897, 376, 1150, 1290
2199, 923, 419, 1200, 1319
2250, 931, 498, 1250, 1407
2300, 984, 491, 1300, 1486
2349, 940, 665, 1350, 1662
2399, 988, 669, 1400, 1643
2449, 1042, 662, 1450, 1688
2499, 1034, 768, 1500, 1852
2549, 1085, 767, 1550, 1854
2600, 1082, 864, 1600, 1929
2649, 1103, 917, 1650, 2071
2699, 1131, 958, 1700, 2085
2750, 1163, 992, 1750, 2147
2799, 1169, 1072, 1800, 2223
2849, 1176, 1153, 1850, 2341
2900, 1237, 1132, 1900, 2436
2949, 1247, 1205, 1950, 2456
2999, 1272, 1251, 2000, 2565
3049, 1303, 1286, 2050, 2605
3100, 1315, 1357, 2100, 2736
3149, 1319, 1441, 2150, 2772
3200, 1375, 1430, 2200, 2859
3249, 1407, 1464, 2250, 2953
3299, 1420, 1532, 2300, 3033
3349, 1412, 1639, 2350, 3087
3399, 1454, 1654, 2400, 3192
3449, 1485, 1689, 2450, 3259
3499, 1483, 1785, 2500, 3324
3549, 1530, 1791, 2550, 3410
3599, 1534, 1875, 2600, 3506
3649, 1549, 1940, 2650, 3582
3699, 1562, 2009, 2700, 3659
3750, 1595, 2039, 2750, 3763
3799, 1612, 2100, 2800, 3832
3849, 1618, 2181, 2850, 3949
3899, 1659, 2199, 2900, 4004
3949, 1680, 2252, 2950, 4104
3999, 1679, 2346, 3000, 4147
4050, 1724, 2376, 3000, 4284
4099, 1685, 2427, 3000, 4287
4149, 1685, 2427, 3000, 4334
4200, 1656, 2448, 3000, 4350
4249, 1638, 2514, 3000, 4378
4301, 1625, 2537, 3000, 4460
4350, 1638, 2514, 3000, 4478
4399, 1619, 2548, 3000, 4511
4449, 1587, 2608, 3000, 4516
