Time (ms), Raw speed error (mV), Raw speed (mrad/s), Reference (mV), Control output (mV)
01, 3000, 0, 3000, 0
49, 1987, 1869, 3000, 3110
100, 2066, 1725, 3000, 3214
149, 2045, 1763, 3000, 3276
199, 2048, 1757, 3000, 3326
249, 2011, 1826, 3000, 3376
299, 2001, 1844, 3000, 3410
349, 2011, 1826, 3000, 3452
399, 1977, 1888, 3000, 3525
449, 1949, 1940, 3000, 3548
499, 1949, 1940, 3000, 3580
551, 1931, 1974, 3000, 3612
599, 1915, 2002, 3000, 3654
649, 1892, 2046, 3000, 3688
699, 1892, 2046, 3000, 3751
749, 1854, 2116, 3000, 3787
799, 1845, 2132, 3000, 3848
850, 1871, 2084, 3000, 3838
899, 1832, 2156, 3000, 3908
949, 1814, 2190, 3000, 3942
999, 1804, 2207, 3000, 3966
1049, 1785, 2243, 3000, 4010
1099, 1770, 2270, 3000, 4045
1150, 1760, 2288, 3000, 4074
1199, 1745, 2317, 3000, 4117
1249, 1734, 2336, 3000, 4214
1299, 1729, 2346, 3000, 4199
1349, 1707, 2386, 3000, 4274
1399, 1702, 2396, 3000, 4297
1450, 1674, 2448, 3000, 4354
1500, 1668, 2459, 3000, 4392
1549, 1668, 2459, 3000, 4414
1599, 1656, 2481, 3000, 4433
1650, 1632, 2525, 3000, 4496
1699, 1632, 2525, 3000, 4484
1749, 1606, 2572, 3000, 4529
1799, 1587, 2608, 3000, 4582
1849, 1574, 2632, 3000, 4634
1899, 1593, 2596, 3000, 4656
1949, 1560, 2657, 3000, 4678
2000, 1525, 2722, 3000, 4687
2049, 1540, 2695, 3000, 4769
2099, 1533, 2708, 3000, 4768
2149, 1533, 2708, 3000, 4818
2199, 1496, 2775, 3000, 4835
2249, 1474, 2817, 3000, 4884
2300, 1458, 2846, 3000, 4900
2349, 1458, 2846, 3000, 4913
2399, 1442, 2875, 3000, 4985
2449, 1434, 2890, 3000, 4934
2499, 1434, 2890, 3000, 5056
2549, 1410, 2935, 3000, 5028
2601, 1401, 2951, 3000, 5090
2649, 1401, 2951, 3000, 5109
2699, 1384, 2982, 3000, 5131
2750, 1384, 2982, 3000, 5177
2799, 1384, 2982, 3000, 5195
2849, 1349, 3047, 3000, 5240
2901, 1331, 3081, 3000, 5284
2949, 1340, 3064, 3000, 5286
2999, 1312, 3115, 3000, 5315
3050, 1303, 3132, 3000, 5374
3099, 1303, 3132, 3000, 5375
3149, 1283, 3168, 3000, 5403
3201, 1274, 3186, 3000, 5430
3249, 1254, 3222, 3000, 5472
3299, 1264, 3204, 3000, 5487
3350, 1254, 3222, 3000, 5483
3399, 1254, 3222, 3000, 5539
3449, 1234, 3260, 3000, 5565
3500, 1234, 3260, 3000, 5588
3549, 1223, 3279, 3000, 5646
3599, 1192, 3337, 3000, 5638
3650, 1202, 3318, 3000, 5677
3699, 1181, 3357, 3000, 5683
3750, 1181, 3357, 3000, 5722
3800, 1170, 3378, 3000, 5710
3849, 1170, 3378, 3000, 5748
3899, 1125, 3461, 3000, 5804
3950, 1147, 3419, 3000, 5842
3999, 1147, 3419, 3000, 5828
4050, 1101, 3504, 3000, 5837
4099, 1101, 3504, 3000, 5866
4149, 1125, 3461, 3000, 5903
4199, 1101, 3504, 3000, 5975
4249, 1065, 3571, 3000, 5975
4299, 1053, 3594, 3000, 5956
4350, 1040, 3617, 3000, 5962
4400, 1014, 3665, 3000, 5959
4449, 1040, 3617, 3000, 6044
4499, 1040, 3617, 3000, 6078
4549, 1065, 3641, 3000, 6137
4599, 988, 3713, 3000, 6057
4652, 1040, 3617, 3000, 6148
4699, 988, 3713, 3000, 6157
4749, 988, 3689, 3000, 6156
4799, 1014, 3665, 3000, 6229
4851, 974, 3738, 3000, 6223
4899, 988, 3713, 3000, 6255
4949, 974, 3738, 3000, 6266
4999, 961, 3763, 3000, 6278
5051, 947, 3788, 3000, 6288
5099, 933, 3814, 3000, 6340
5150, 933, 3814, 3000, 6308
5201, 947, 3788, 3000, 6338
5249, 919, 3840, 3000, 6411
5299, 905, 3840, 3000, 6378
5350, 890, 3894, 3000, 6429
5400, 919, 3840, 3000, 6459
5450, 919, 3840, 3000, 6356
5500, 845, 3976, 3000, 6431
5549, 919, 3840, 3000, 6505
5600, 905, 3867, 3000, 6533
5650, 875, 3921, 3000, 6538
5699, 890, 3894, 3000, 6567
5749, 875, 3921, 3000, 6640
5800, 875, 3921, 3000, 6578
5850, 830, 4005, 3000, 6606
5899, 830, 4005, 3000, 6564
5949, 845, 3976, 3000, 6615
5999, 814, 4034, 3000, 6667
6049, 814, 4034, 3000, 6694
6100, 782, 4093, 3000, 6697
6149, 830, 4005, 3000, 6699
6199, 798, 4063, 3000, 6701
6249, 766, 4123, 3000, 6751
6299, 798, 4063, 3000, 6753
6349, 798, 4063, 3000, 6779
6400, 782, 4093, 3000, 6756
6449, 766, 4123, 3000, 6755
6499, 814, 4034, 3000, 6779
6549, 766, 4123, 3000, 6832
6599, 750, 4153, 3000, 6829
6649, 782, 4093, 3000, 6881
6699, 698, 4248, 3000, 6905
6749, 766, 4123, 3000, 6929
6799, 715, 4216, 3000, 6954
6849, 733, 4184, 3000, 6977
6899, 750, 4153, 3000, 6923
6950, 681, 4280, 3000, 6919
6999, 663, 4313, 3000, 6969
7049, 715, 4216, 3000, 6965
7099, 681, 4280, 3000, 7039
7149, 681, 4280, 3000, 7089
7199, 681, 4280, 3000, 6979
7250, 698, 4248, 3000, 7029
7299, 715, 4216, 3000, 7024
7349, 681, 4280, 3000, 7073
7399, 681, 4280, 3000, 7122
7449, 698, 4248, 3000, 7116
7499, 663, 4313, 3000, 7083
7550, 681, 4280, 3000, 7132
7599, 645, 4346, 3000, 7153
7649, 608, 4415, 3000, 7174
7699, 663, 4313, 3000, 7167
7749, 645, 4346, 3000, 7161
7799, 627, 4380, 3000, 7181
7850, 645, 4346, 3000, 7201
